idade,tipo de emprego,estado civil,educação,inadimplência,saldo (em euros),habitação,empréstimo,contato,dia,mês,duração (em segundos),campanha,pdias,anterior,presultado,y
30,desempregado,casado,primario,não,1787,não,não,celular,19,outubro,79,1,-1,0,desconhecido,não
33,serviços gerais,casado,secundário,não,4789,sim,sim,celular,11,maio,220,1,339,4,falha,não
35,gerente,solteiro,terciário,não,1350,sim,não,celular,16,abril,185,1,330,1,falha,não
30,gerente,casado,terciário,não,1476,sim,sim,desconhecido,3,junho,199,4,-1,0,desconhecido,não
59,operário,casado,secundário,não,0,sim,não,desconhecido,5,maio,226,1,-1,0,desconhecido,não
35,gerente,solteiro,terciário,não,747,não,não,celular,23,fevereiro,141,2,176,3,falha,não
36,autônomo,casado,terciário,não,307,sim,não,celular,14,maio,341,1,330,2,outro,não
39,técnico,casado,secundário,não,147,sim,não,celular,6,maio,151,2,-1,0,desconhecido,não
41,empresário,casado,terciário,não,221,sim,não,desconhecido,14,maio,57,2,-1,0,desconhecido,não
43,serviços gerais,casado,primario,não,-88,sim,sim,celular,17,abril,313,1,147,2,falha,não
39,serviços gerais,casado,secundário,não,9374,sim,não,desconhecido,20,maio,273,1,-1,0,desconhecido,não
43,administrador,casado,secundário,não,264,sim,não,celular,17,abril,113,2,-1,0,desconhecido,não
36,técnico,casado,terciário,não,1109,não,não,celular,13,agosto,328,2,-1,0,desconhecido,não
20,estudante,solteiro,secundário,não,502,não,não,celular,30,abril,261,1,-1,0,desconhecido,sim
31,operário,casado,secundário,não,360,sim,sim,celular,29,janeiro,89,1,241,1,falha,não
40,gerente,casado,terciário,não,194,não,sim,celular,29,agosto,189,2,-1,0,desconhecido,não
56,técnico,casado,secundário,não,4073,não,não,celular,27,agosto,239,5,-1,0,desconhecido,não
37,administrador,solteiro,terciário,não,2317,sim,não,celular,20,abril,114,1,152,2,falha,não
25,operário,solteiro,primario,não,-221,sim,não,desconhecido,23,maio,250,1,-1,0,desconhecido,não
31,serviços gerais,casado,secundário,não,132,não,não,celular,7,julho,148,1,152,1,outro,não
38,gerente,divorciado,desconhecido,não,0,sim,não,celular,18,novembro,96,2,-1,0,desconhecido,não
42,gerente,divorciado,terciário,não,16,não,não,celular,19,novembro,140,3,-1,0,desconhecido,não
44,serviços gerais,solteiro,secundário,não,106,não,não,desconhecido,12,junho,109,2,-1,0,desconhecido,não
44,empresário,casado,secundário,não,93,não,não,celular,7,julho,125,2,-1,0,desconhecido,não
26,empregada doméstica,casado,terciário,não,543,não,não,celular,30,janeiro,169,3,-1,0,desconhecido,não
41,gerente,casado,terciário,não,5883,não,não,celular,20,novembro,182,2,-1,0,desconhecido,não
55,operário,casado,primario,não,627,sim,não,desconhecido,5,maio,247,1,-1,0,desconhecido,não
67,aposentado,casado,desconhecido,não,696,não,não,telefone,17,agosto,119,1,105,2,falha,não
56,autônomo,casado,secundário,não,784,não,sim,celular,30,julho,149,2,-1,0,desconhecido,não
53,administrador,casado,secundário,não,105,não,sim,celular,21,agosto,74,2,-1,0,desconhecido,não
68,aposentado,divorciado,secundário,não,4189,não,não,telefone,14,julho,897,2,-1,0,desconhecido,sim
31,técnico,casado,secundário,não,171,não,não,celular,27,agosto,81,3,-1,0,desconhecido,não
59,gerente,casado,secundário,não,42,não,não,celular,21,novembro,40,1,-1,0,desconhecido,não
32,gerente,solteiro,terciário,não,2536,sim,não,celular,26,agosto,958,6,-1,0,desconhecido,sim
49,técnico,casado,terciário,não,1235,não,não,celular,13,agosto,354,3,-1,0,desconhecido,sim
42,administrador,divorciado,secundário,não,1811,sim,não,desconhecido,14,maio,150,1,-1,0,desconhecido,não
78,aposentado,divorciado,primario,não,229,não,não,telefone,22,outubro,97,1,-1,0,desconhecido,sim
32,operário,casado,secundário,não,2089,sim,não,celular,14,novembro,132,1,-1,0,desconhecido,sim
33,gerente,casado,secundário,não,3935,sim,não,celular,6,maio,765,1,342,2,falha,sim
23,serviços gerais,solteiro,terciário,não,363,sim,não,desconhecido,30,maio,16,18,-1,0,desconhecido,não
38,gerente,solteiro,terciário,não,11971,sim,não,desconhecido,17,novembro,609,2,101,3,falha,não
36,gerente,solteiro,terciário,não,553,não,não,celular,11,agosto,106,2,-1,0,desconhecido,não
52,operário,casado,secundário,não,1117,sim,não,celular,13,maio,365,1,-1,0,desconhecido,não
32,técnico,casado,terciário,não,396,sim,não,celular,13,maio,205,3,-1,0,desconhecido,não
32,técnico,solteiro,terciário,não,2204,sim,não,celular,21,novembro,11,4,-1,0,desconhecido,não
34,gerente,solteiro,terciário,não,872,sim,não,desconhecido,7,maio,105,2,-1,0,desconhecido,não
55,operário,casado,primario,não,145,não,não,telefone,2,fevereiro,59,3,5,2,outro,não
26,operário,casado,primario,não,0,sim,não,desconhecido,21,maio,425,1,-1,0,desconhecido,não
32,empresário,solteiro,primario,sim,-849,sim,sim,celular,4,fevereiro,204,1,-1,0,desconhecido,não
61,administrador,casado,desconhecido,não,4629,sim,não,celular,27,janeiro,181,1,92,1,sucesso,sim
45,operário,divorciado,primario,não,844,não,não,desconhecido,5,junho,1018,3,-1,0,desconhecido,sim
37,técnico,solteiro,secundário,não,228,sim,não,celular,20,agosto,1740,2,-1,0,desconhecido,não
38,técnico,solteiro,secundário,não,50,não,não,celular,29,agosto,98,2,-1,0,desconhecido,não
34,técnico,casado,terciário,não,1539,sim,não,celular,15,junho,441,1,56,1,outro,sim
53,operário,casado,secundário,não,2231,sim,não,celular,14,julho,272,3,-1,0,desconhecido,não
48,administrador,casado,secundário,não,3064,sim,não,telefone,15,julho,159,2,-1,0,desconhecido,não
57,gerente,casado,secundário,não,82,não,sim,telefone,4,fevereiro,140,1,-1,0,desconhecido,não
33,autônomo,solteiro,terciário,não,2155,não,não,celular,17,novembro,295,1,-1,0,desconhecido,não
36,aposentado,solteiro,secundário,não,101,sim,sim,desconhecido,26,maio,314,1,-1,0,desconhecido,não
